id,created_at,empresa_id,DSProcesso,sincEventos,area,ano_dsprocesso
152,1690405412205,12,880.078/2017,1705923348350,,
153,1690405437127,12,880.100/2018,1705923356660,,
154,1690405456798,12,880.008/2019,1705923587041,,
155,1690405474451,12,880.099/2019,1705922948250,,
156,1690405485234,12,880.172/2019,1705923067044,,
157,1690405499119,12,880.112/2020,1705922739152,,
158,1690405510124,12,880.115/2020,1705923592450,,
159,1690405521123,12,880.128/2020,1705923585747,,
160,1690405531501,12,880.179/2020,1705923606545,,
161,1690405541715,12,880.183/2020,1705923278674,,
162,1690405552631,12,880.184/2020,1705923035049,,
163,1690405566704,12,880.110/2021,1705922871657,,
164,1690405576402,12,880.159/2021,1705923160744,,
165,1690409412050,12,870.880/2023,1705922847352,,
166,1690475919502,12,810.081/2019,1705924342749,,
167,1690475919502,12,810.090/1991,1717183603527,,
168,1690475919502,12,810.125/2021,1705957827184,,
169,1690475919502,12,810.126/2018,1717183598912,,
170,1690475919502,12,810.126/2021,1705957826180,,
171,1690475919502,12,810.127/2021,1705923854344,,
172,1690475919502,12,810.127/2018,1723816943218,,
173,1690475919502,12,810.129/2021,1705957821387,,
174,1690475919502,12,810.130/2021,1705957816781,,
175,1690475919502,12,810.131/2021,1705957806881,,
176,1690475919502,12,810.132/2021,1705923469043,,
177,1690475919502,12,810.133/2021,1705922820753,,
178,1690475919502,12,810.134/2018,1717183597716,,
179,1690475919502,12,810.134/2021,1705923520459,,
180,1690475919502,12,810.135/2018,1717183596911,,
181,1690475919502,12,810.143/2018,1717183596116,,
182,1690475919502,12,810.142/2018,1717183595216,,
183,1690475919502,12,810.141/2021,1705922448851,,
184,1690475919502,12,810.141/2018,1717183594510,,
185,1690475919502,12,810.139/2018,1717183593723,,
186,1690475919502,12,810.140/2018,1717183593024,,
187,1690475919502,12,810.140/2021,1705922949048,,
188,1690475919502,12,810.138/2021,1705922825652,,
189,1690475919502,12,810.138/2018,1717183592221,,
190,1690475919502,12,810.137/2021,1705923534648,,
191,1690475919502,12,810.137/2018,1717183591512,,
192,1690475919502,12,810.136/2021,1705923575741,,
193,1690475919502,12,810.136/2018,1717183590720,,
194,1690475919502,12,810.135/2021,1705923584354,,
195,1690475939785,12,810.144/2018,1717183589923,,
196,1690475939785,12,810.145/2018,1717183589114,,
197,1690475939785,12,810.146/2018,1717183586512,,
